Date,Time,Prediction,Confidence
2026-08-22,20:01:55,REAL,80.21
2026-08-22,20:01:56,REAL,85.94
2026-08-22,20:01:57,REAL,78.11
2026-08-22,20:01:58,REAL,91.91
2026-08-22,20:01:59,REAL,77.40
2026-08-22,20:02:00,REAL,72.29
2026-08-22,20:02:01,REAL,68.10
2026-08-22,20:02:02,REAL,78.28
2026-08-22,20:02:03,REAL,76.61
2026-08-22,20:02:04,REAL,79.83
2026-08-22,20:02:05,REAL,83.31
2026-08-22,20:02:06,REAL,74.84
2026-08-22,20:02:07,REAL,81.95
2026-08-22,20:02:08,REAL,83.82
2026-08-22,20:02:09,REAL,83.48
2026-08-22,20:02:10,REAL,80.45
2026-08-22,20:02:11,REAL,82.11
2026-08-22,20:02:12,REAL,76.15
2026-08-22,20:02:13,REAL,77.19
2026-08-22,20:02:14,REAL,77.77
2026-08-22,20:02:15,REAL,80.43
2026-08-22,20:02:16,REAL,79.87
2026-08-22,20:02:17,REAL,78.13
2026-08-22,20:02:18,REAL,77.50
2026-08-22,20:02:19,REAL,78.62
2026-08-22,20:02:20,REAL,82.20
2026-08-22,20:02:21,REAL,80.46
2026-08-22,20:02:22,REAL,80.27
2026-08-22,20:02:23,REAL,80.96
2026-08-22,20:02:24,REAL,80.61
2026-08-22,20:02:25,REAL,77.88
2026-08-22,20:02:26,REAL,78.61
2026-08-22,20:02:27,REAL,79.68
2026-08-22,20:02:28,REAL,54.26
2026-08-22,20:02:29,REAL,88.89
2026-08-22,20:02:30,REAL,79.75
2026-08-22,20:02:31,REAL,74.37
2026-08-22,20:02:32,REAL,63.32
2026-08-22,20:02:33,REAL,68.94
2026-08-22,20:02:34,REAL,75.10
2026-08-22,20:02:35,REAL,64.98
2026-08-22,20:02:36,REAL,77.18
2026-08-22,20:02:37,REAL,75.58
2026-08-22,20:02:38,REAL,71.94
2026-08-22,20:02:39,REAL,75.42
2026-08-22,20:02:40,REAL,37.29
2026-08-22,20:02:41,REAL,47.37
2026-08-22,20:02:42,REAL,63.66
2026-08-22,20:02:43,REAL,57.78
2026-08-22,20:02:44,REAL,76.92
2026-08-22,20:02:45,REAL,71.74
2026-08-22,20:02:46,REAL,71.92
2026-08-22,20:02:47,REAL,83.50
2026-08-22,20:02:48,REAL,82.37
2026-08-22,20:02:49,REAL,68.76
2026-08-22,20:02:50,REAL,66.06
2026-08-22,20:02:51,REAL,76.24
2026-08-23,19:03:51,REAL,39.73
2026-08-23,19:03:52,REAL,47.25
2026-08-23,19:03:53,REAL,48.06
2026-08-23,19:03:54,REAL,60.83
2026-08-23,19:03:55,REAL,54.57
2026-08-23,19:03:56,REAL,56.82
2026-08-23,19:03:57,REAL,55.34
2026-08-23,19:03:58,REAL,50.07
2026-08-23,19:03:59,REAL,57.14
2026-08-23,19:04:00,REAL,51.34
2026-08-23,19:04:01,REAL,59.03
2026-08-23,19:04:02,REAL,51.38
2026-08-23,19:04:03,REAL,53.10
2026-08-23,19:04:04,REAL,60.30
2026-08-23,19:04:05,REAL,52.95
2026-08-23,19:04:06,REAL,68.37
2026-08-23,19:04:07,REAL,55.95
2026-08-23,19:04:08,REAL,50.65
2026-08-23,19:04:09,REAL,54.88
2026-08-23,19:04:10,REAL,48.94
2026-08-23,19:04:11,REAL,60.22
2026-08-23,19:04:12,REAL,49.84
2026-08-23,19:04:13,REAL,52.54
2026-08-23,19:04:14,REAL,49.97
2026-08-23,19:04:15,REAL,57.51
2026-08-23,19:04:16,REAL,56.47
2026-08-23,19:04:17,REAL,51.21
2026-08-23,19:04:18,REAL,63.66
2026-08-23,19:04:19,REAL,61.24
2026-08-23,19:04:20,REAL,68.07
2026-08-23,19:04:21,REAL,57.94
2026-08-23,19:04:22,REAL,62.84
2026-08-23,19:04:23,REAL,59.18
2026-08-23,19:14:12,REAL,68.50
2026-08-23,19:14:14,REAL,84.53
2026-08-23,19:14:18,REAL,78.93
2026-08-23,19:14:43,REAL,38.97
2026-08-23,19:14:44,REAL,64.06
2026-08-23,19:14:45,NO FACE,0.00
2026-08-23,19:14:46,NO FACE,0.00
2026-08-23,19:14:47,REAL,42.06
2026-08-23,19:14:48,NO FACE,0.00
2026-08-23,19:14:49,REAL,42.89
2026-08-23,19:14:50,REAL,76.12
2026-08-23,19:14:51,NO FACE,0.00
2026-08-23,19:14:52,REAL,83.01
2026-08-23,19:14:53,REAL,84.08
2026-08-23,19:14:54,REAL,79.18
2026-08-23,19:14:55,REAL,77.27
2026-08-23,19:14:56,REAL,86.46
2026-08-23,19:14:57,REAL,77.30
2026-08-23,19:14:58,REAL,62.52
2026-08-23,19:14:59,REAL,78.42
2026-08-23,19:15:00,REAL,80.65
2026-08-23,19:15:01,REAL,84.42
2026-08-23,19:15:02,REAL,88.35
2026-08-23,19:15:03,REAL,80.86
2026-08-23,19:15:04,REAL,48.90
2026-08-23,19:15:22,REAL,35.45
2026-08-23,19:15:24,REAL,47.85
2026-08-23,19:15:26,REAL,42.05
2026-08-23,19:15:27,REAL,72.38
2026-08-23,19:15:28,REAL,64.73
2026-08-23,19:15:29,REAL,68.82
2026-08-23,19:15:30,REAL,70.93
2026-08-23,19:15:31,REAL,70.42
2026-08-23,19:15:32,REAL,82.83
2026-08-23,19:15:33,REAL,50.73
2026-08-23,19:15:34,REAL,61.14
2026-08-23,19:15:35,REAL,55.23
2026-08-23,19:15:36,REAL,61.34
2026-08-23,19:15:37,REAL,73.90
2026-08-23,19:15:38,REAL,61.45
2026-08-23,19:15:39,REAL,67.00
2026-08-23,19:15:40,REAL,72.22
2026-08-23,19:15:41,REAL,68.29
2026-08-23,19:15:42,REAL,80.86
2026-08-23,19:15:43,REAL,64.51
2026-08-23,19:15:44,REAL,68.08
2026-08-23,19:15:45,REAL,74.24
2026-08-23,19:15:46,REAL,71.06
2026-08-23,19:15:47,REAL,74.63
2026-08-23,19:15:48,REAL,64.27
2026-08-23,19:15:49,REAL,77.46
2026-08-23,19:15:50,REAL,71.93
2026-08-23,19:15:51,REAL,63.91
2026-08-23,19:15:52,REAL,70.29
2026-08-23,19:15:53,REAL,78.36
2026-08-23,19:15:54,REAL,85.11
2026-08-23,19:15:55,REAL,69.28
2026-08-23,19:15:56,REAL,64.26
2026-08-23,19:15:57,REAL,71.64
2026-08-23,19:15:58,REAL,59.15
2026-08-23,19:15:59,REAL,50.04
2026-08-23,19:16:00,NO FACE,0.00
2026-08-23,19:16:01,NO FACE,0.00
2026-08-23,19:16:03,REAL,36.94
2026-08-23,19:16:05,REAL,65.43
2026-08-23,19:16:06,NO FACE,0.00
2026-08-23,19:16:07,REAL,64.17
2026-08-23,19:16:08,REAL,57.99
2026-08-23,19:18:28,REAL,64.34
2026-08-23,19:18:29,NO FACE,0.00
2026-08-23,19:18:30,NO FACE,0.00
2026-08-23,19:18:31,REAL,44.62
2026-08-23,19:18:32,NO FACE,0.00
2026-08-23,19:18:34,REAL,36.55
2026-08-23,19:18:35,REAL,36.75
2026-08-23,19:18:36,REAL,40.90
2026-08-23,19:18:37,NO FACE,0.00
2026-08-23,19:18:40,REAL,54.67
2026-08-23,19:18:44,REAL,49.69
2026-08-23,19:18:45,NO FACE,0.00
2026-08-23,19:18:46,REAL,46.34
2026-08-23,19:18:47,REAL,47.67
2026-08-23,19:18:48,REAL,43.27
2026-08-23,19:18:49,REAL,51.37
2026-08-23,19:19:03,REAL,35.82
2026-08-23,19:19:09,REAL,41.41
2026-08-23,19:19:50,REAL,61.16
2026-08-23,19:19:51,REAL,39.32
2026-08-23,19:19:52,FAKE,65.06
2026-08-23,19:19:56,REAL,63.28
2026-08-23,19:19:57,REAL,63.28
2026-08-23,19:19:58,REAL,64.51
2026-08-23,19:19:59,REAL,65.00
2026-08-23,19:20:00,REAL,63.48
2026-08-23,19:20:01,REAL,65.64
2026-08-23,19:20:02,REAL,52.50
2026-08-23,19:20:03,REAL,43.05
2026-08-23,19:20:04,REAL,65.93
2026-08-23,19:20:05,REAL,78.73
2026-08-23,19:20:06,REAL,66.32
2026-08-23,19:20:07,REAL,79.02
2026-08-23,19:20:08,REAL,75.04
2026-08-23,19:20:09,REAL,68.19
2026-08-23,19:20:13,REAL,62.69
2026-08-23,19:20:14,REAL,57.16
2026-08-23,19:20:15,REAL,56.07
2026-08-23,19:20:16,REAL,52.16
2026-08-23,19:20:17,REAL,49.50
2026-08-23,19:20:18,REAL,75.64
2026-08-23,19:20:19,REAL,51.71
2026-08-23,19:20:20,REAL,67.03
2026-08-31,15:18:24,REAL,75.59
2026-08-31,15:18:25,REAL,68.36
2026-08-31,15:18:26,REAL,69.96
2026-08-31,15:18:27,REAL,73.92
2026-08-31,15:18:28,REAL,72.14
2026-08-31,15:18:29,REAL,76.20
2026-08-31,15:18:30,REAL,72.13
2026-08-31,15:18:31,REAL,62.17
2026-08-31,15:18:32,REAL,62.35
2026-08-31,15:18:33,REAL,40.17
2026-08-31,15:18:34,REAL,66.31
2026-08-31,15:18:35,REAL,71.92
2026-08-31,15:18:36,REAL,76.14
2026-08-31,15:18:37,REAL,71.35
2026-08-31,15:18:38,REAL,72.79
